,status,대분류,소분류,검색키워드,업데이트,cluster,new_cluster,category
0,2,음악,트로트,트로트/미스트롯/미스터트롯/트롯,2024-07-30,14,,음악 트로트
1,1,음악,트로트,미스트롯/미스터트롯/트롯/임영웅/현역가왕/황영웅/TROT/현철/나훈아,2024-07-30,14,,음악 트로트
2,2,음악,노래,노래/보컬/발성/메들리/노래방/플레이리스트/팝송/커버/노래모음/케이팝/신곡/재즈,2024-07-30,15,,음악 노래
3,1,음악,노래,KPOP/kpop/Kpop/K-POP/PLAYLIST/COVER/OST/LYRICS/KARAOKE/POPSONG,2024-07-30,15,,음악 노래
4,2,음악,댄스,댄스/춤/치어리더/직캠/무용,2024-07-30,16,,음악 댄스
5,1,음악,댄스,FANCAM/DANCETEAM,2024-07-30,16,,음악 댄스
7,1,음악,악기/연주,PIANO,2024-07-30,18,,음악 악기/연주
8,1,음악,콘서트,BUSKING/HONGDAE,2024-07-30,19,,음악 콘서트
9,1,건강,힐링,ASMR/빗소리,2024-07-30,83,,건강 힐링
10,2,교육,사업/창업,사업/창업/카페/자영업/식당,2024-03-25,89,,교육 사업/창업
11,2,게임,RPG,RPG/MMORPG/롤플레잉,2024-03-25,91,,게임 RPG
12,2,뉴스,정치,정치/국회/공천/의원/보수/진보/이재명/한동훈/국민의힘/국힘/민주당/더민주,2024-03-25,93,,뉴스 정치
13,2,금융,주식/투자,주식/투자/주가/전망/목표가/관련주,2024-03-13,1,,금융 주식/투자
14,1,금융,주식/투자,주식/호재/주가/코스닥/나스닥,2024-03-13,1,,금융 주식/투자
15,2,종교,기독교,기독교/교회/목사,2024-03-13,13,,종교 기독교
16,2,종교,천주교,천주교/성당,2024-03-13,13,,종교 천주교
17,2,종교,불교,불교/스님,2024-03-13,13,,종교 불교
18,2,자동차,자동차,승용차/세단/SUV/전기차/중고차,2024-03-13,45,,자동차 자동차
19,2,방송,광고/이벤트,광고/캠페인/홍보/이벤트/쿠팡파트너스,2024-03-13,48,,방송 광고/이벤트
20,2,방송,드라마/OTT,청춘/로맨스/사극/연기/넷플릭스/쿠팡플레이/왓챠,2024-03-13,49,,방송 드라마/OTT
21,2,라이프스타일,일상/vlog,카페,2024-03-13,86,,라이프스타일 일상/vlog
22,1,게임,로블록스,로블록스/로블록스 배드워즈,2024-03-12,5,,게임 로블록스
23,2,교육,자격증/시험,자격증/시험/면허/기술사,2024-03-12,29,,교육 자격증/시험
24,2,스포츠,축구,축구,2024-03-12,67,,스포츠 축구
25,2,교육,콘텐츠,교육콘텐츠,2024-03-12,85,,교육 콘텐츠
26,2,음악,힙합/랩,힙합/랩,2024-03-12,87,,음악 힙합/랩
